City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,avarua,-21.2078,-159.775,296.18,64,75,4.12,CK,1696290181
1,nizhnyaya poyma,56.1622,97.1933,275.14,97,100,3.06,RU,1696290182
2,lake havasu city,34.4839,-114.3224,301.61,24,7,2.57,US,1696290182
3,waitangi,-43.9535,-176.5597,283.05,91,97,5.81,NZ,1696290182
4,guarapari,-20.6667,-40.4975,296.98,96,94,0.73,BR,1696290182
5,ribeira grande,38.5167,-28.7,292.47,75,3,3.13,PT,1696290183
6,yellowknife,62.456,-114.3525,284.49,83,75,3.09,CA,1696290049
7,karratha,-20.7377,116.8463,299.78,30,58,6.28,AU,1696290183
8,ilulissat,69.2167,-51.1,272.16,40,0,7.2,GL,1696290183
9,jamestown,42.097,-79.2353,293.95,73,0,4.12,US,1696290044
10,conduaga,8.862,117.4893,301.04,83,93,2.72,PH,1696290184
11,kargil,34.5667,76.1,276.99,64,0,1.82,IN,1696290184
12,holualoa,19.6228,-155.9522,301.06,76,0,5.66,US,1696290099
13,edinburgh of the seven seas,-37.0676,-12.3116,282.98,56,48,9.62,SH,1696290153
14,lethem,3.3803,-59.7968,303.93,32,84,1.94,GY,1696290185
15,iqaluit,63.7506,-68.5145,277.0,80,100,5.66,CA,1696290185
16,papatowai,-46.5619,169.4708,284.85,40,9,1.8,NZ,1696290185
17,portland,45.5234,-122.6762,287.75,93,100,4.02,US,1696290027
18,aykhal,66.0,111.5,265.41,91,99,3.13,RU,1696290186
19,port-aux-francais,-49.35,70.2167,275.35,72,75,15.62,TF,1696290152
20,vila velha,-20.3297,-40.2925,297.12,89,75,2.57,BR,1696290186
21,adamstown,-25.066,-130.1015,293.48,69,49,9.88,PN,1696290187
22,bilibino,68.0546,166.4372,264.79,93,99,1.02,RU,1696290187
23,qaqortoq,60.7167,-46.0333,277.7,59,100,1.4,GL,1696290163
24,grytviken,-54.2811,-36.5092,274.8,83,100,4.9,GS,1696290187
25,vilyuchinsk,52.9306,158.4028,282.0,82,100,3.78,RU,1696290163
26,kismayo,-0.3582,42.5454,298.77,87,10,7.06,SO,1696290188
27,oliva de la frontera,38.276,-6.9187,293.86,43,94,0.35,ES,1696290188
28,tomatlan,19.9333,-105.25,301.87,83,97,3.31,MX,1696290188
29,saipan,15.1355,145.701,304.54,74,20,7.2,MP,1696290157
30,hasaki,35.7333,140.8333,294.42,52,66,4.13,JP,1696290188
31,fortaleza,-3.7227,-38.5247,300.49,83,75,4.63,BR,1696290165
32,happy valley-goose bay,53.3168,-60.3315,281.32,57,75,2.06,CA,1696290189
33,dakhla,23.6848,-15.958,295.3,77,0,8.03,EH,1696290189
34,bethel,41.3712,-73.414,292.61,81,0,2.06,US,1696290155
35,wailua homesteads,22.0669,-159.378,301.4,74,0,4.12,US,1696290162
36,kapuskasing,49.4169,-82.4331,298.2,57,75,6.69,CA,1696290062
37,west bay,19.3667,-81.4167,304.19,76,20,3.09,KY,1696290190
38,corralillo,22.9819,-80.5856,300.66,79,81,4.5,CU,1696290190
39,tolanaro,-25.0319,46.9987,293.19,64,75,6.17,MG,1696290190
40,hubynykha,48.8108,35.2547,283.76,60,5,3.7,UA,1696290190
41,east london,-33.0153,27.9116,292.06,56,0,3.38,ZA,1696290190
42,aasiaat,68.7098,-52.8699,266.05,74,1,3.92,GL,1696290162
43,santyoku,37.4406,129.1708,292.7,49,98,1.85,KR,1696290191
44,toulepleu guere,6.574,-8.4259,295.42,99,99,1.26,CI,1696290191
45,ola,59.5833,151.2833,281.01,67,72,4.0,RU,1696290191
46,cidreira,-30.1811,-50.2056,287.53,79,2,3.01,BR,1696290191
47,kununurra,-15.7667,128.7333,302.14,65,25,4.12,AU,1696290192
48,invercargill,-46.4,168.35,285.38,56,12,3.13,NZ,1696290154
49,puerto natales,-51.7236,-72.4875,275.55,97,84,1.38,CL,1696290192
50,blackmans bay,-43.0167,147.3167,293.44,60,93,4.46,AU,1696290193
51,dudinka,69.4058,86.1778,274.05,96,100,10.28,RU,1696290193
52,banda aceh,5.5577,95.3222,299.54,83,100,5.97,ID,1696290193
53,hermanus,-34.4187,19.2345,287.99,84,0,1.57,ZA,1696290193
54,nar'yan-mar,67.6713,53.087,277.1,78,53,9.39,RU,1696290194
55,piti village,13.4626,144.6933,304.64,79,20,5.66,GU,1696290194
56,puerto deseado,-47.7503,-65.8938,281.04,75,0,3.0,AR,1696290185
57,college,64.8569,-147.8028,277.29,79,100,4.12,US,1696290159
58,petropavlovsk-kamchatsky,53.0452,158.6483,281.18,85,75,6.71,RU,1696290194
59,usinsk,65.9939,57.5281,274.86,82,61,6.26,RU,1696290195
60,vadstena,58.4486,14.8897,284.86,85,100,5.18,SE,1696290195
61,sitka,57.0531,-135.33,285.09,94,100,4.12,US,1696290195
62,puerto ayora,-0.7393,-90.3518,296.23,98,83,2.24,EC,1696290195
63,atafu village,-8.5421,-172.5159,301.78,74,6,4.48,TK,1696290196
64,kodiak,57.79,-152.4072,282.88,46,0,5.14,US,1696290196
65,ushuaia,-54.8,-68.3,279.96,57,40,4.63,AR,1696290196
66,punta arenas,-53.15,-70.9167,280.21,70,0,4.12,CL,1696290035
67,altai,46.3722,96.2583,273.83,75,10,0.63,MN,1696290196
68,stanley,54.868,-1.6985,283.16,93,20,2.06,GB,1696290196
69,gorgan,36.8387,54.4348,289.13,77,40,0.0,IR,1696290197
70,praia da vitoria,38.7333,-27.0667,293.29,73,20,5.54,PT,1696290197
71,crane,31.3974,-102.3501,302.38,42,76,8.51,US,1696290197
72,port douglas,-16.4833,145.4667,297.94,75,68,3.35,AU,1696290119
73,grand falls-windsor,48.9332,-55.6649,285.65,68,6,1.74,CA,1696290198
74,san patricio,28.017,-97.5169,303.07,78,67,6.19,US,1696290198
75,celestun,20.8667,-90.4,302.27,75,80,5.92,MX,1696290198
76,amga,60.8953,131.9608,277.03,90,100,1.34,RU,1696290164
77,port augusta,-32.5,137.7667,292.38,39,84,4.67,AU,1696290198
78,kisangani,0.5167,25.2,294.86,99,86,0.41,CD,1696290199
79,alice springs,-23.7,133.8833,304.9,18,40,3.6,AU,1696290199
80,chonchi,-42.6128,-73.8092,281.55,94,100,0.3,CL,1696290199
81,rumonge,-3.9736,29.4386,298.65,55,36,1.87,BI,1696290199
82,susuman,62.7833,148.1667,271.47,82,10,1.34,RU,1696290199
83,albertina,-22.2008,-46.6158,293.06,87,51,1.38,BR,1696290200
84,utrik,11.2278,169.8474,301.85,79,24,6.88,MH,1696290200
85,vorgashor,67.5833,63.95,274.0,83,90,8.81,RU,1696290200
86,lebu,-37.6167,-73.65,282.55,80,95,4.13,CL,1696290201
87,moab,38.5733,-109.5498,293.18,24,12,8.51,US,1696290201
88,sinabang,2.4803,96.3801,299.57,81,99,4.66,ID,1696290201
89,ornskoldsvik,63.2909,18.7153,274.68,100,44,1.54,SE,1696290201
90,nyurba,63.2842,118.3319,272.06,75,93,2.24,RU,1696290202
91,la ronge,55.1001,-105.2842,280.29,93,100,3.09,CA,1696290178
92,talnakh,69.4865,88.3972,273.82,95,100,7.56,RU,1696290157
93,mata-utu,-13.2816,-176.1745,300.15,82,38,12.47,WF,1696290202
94,kochubey,44.3861,46.5825,290.84,84,100,2.62,RU,1696290202
95,ust'-ilimsk,58.0006,102.6619,272.28,94,95,3.13,RU,1696290203
96,brookings,44.3114,-96.7984,303.34,39,0,10.8,US,1696289943
97,udachny,66.4167,112.4,268.4,79,24,2.69,RU,1696290155
98,olonkinbyen,70.9221,-8.7187,276.09,94,100,7.7,SJ,1696290203
99,yemetsk,63.4721,41.7941,275.23,94,11,1.49,RU,1696290203
100,tsiombe,-25.3,45.4833,291.4,64,93,5.9,MG,1696290203
101,anadyr,64.75,177.4833,276.43,69,0,6.0,RU,1696290204
102,hawera,-39.5917,174.2833,287.17,53,99,7.61,NZ,1696290204
103,queenstown,-31.8976,26.8753,291.21,35,0,2.59,ZA,1696290204
104,hamilton,39.1834,-84.5333,299.58,61,0,0.0,US,1696290204
105,albany,42.6001,-73.9662,291.67,80,22,0.89,US,1696289978
106,bulgan,48.8125,103.5347,276.73,89,64,1.25,MN,1696290205
107,darwin,-12.4611,130.8418,302.14,65,40,2.06,AU,1696290205
108,uturoa,-16.7333,-151.4333,298.97,81,8,6.75,PF,1696290205
109,lata,40.1629,-8.3327,291.44,95,0,0.99,PT,1696290206
110,antofagasta,-23.65,-70.4,288.75,83,53,3.31,CL,1696290066
111,porto novo,6.4965,2.6036,300.05,89,36,2.74,BJ,1696290206
112,morris,40.8334,-74.5329,294.16,84,75,0.0,US,1696290149
113,pisco,-13.7,-76.2167,292.18,82,0,8.23,PE,1696290180
114,whitehorse,60.7161,-135.0538,283.58,61,75,7.6,CA,1696290207
115,xining,36.6167,101.7667,284.16,85,91,0.88,CN,1696290207
116,bredasdorp,-34.5322,20.0403,285.8,80,0,1.61,ZA,1696290207
117,whittlesea,-32.1759,26.8244,290.78,35,0,1.59,ZA,1696290207
118,guerrero negro,27.9769,-114.0611,293.76,60,2,7.86,MX,1696290207
119,kralendijk,12.15,-68.2667,303.14,79,0,3.09,BQ,1696290208
120,afaahiti,-17.75,-149.2833,299.85,86,67,6.09,PF,1696290208
121,bang krathum,16.5783,100.3003,299.16,92,70,1.42,TH,1696290208
122,kalaleh,37.3807,55.4916,294.74,29,88,1.93,IR,1696290208
123,la passe,45.5549,-0.8967,293.28,89,6,3.84,FR,1696290167
124,luganville,-15.5333,167.1667,299.34,78,96,7.91,VU,1696290209
125,katagum,12.2867,10.3527,299.11,54,97,1.9,NG,1696290209
126,axim,4.8699,-2.2405,298.32,88,77,4.0,GH,1696290004
127,raja,8.4596,25.678,294.24,96,100,1.92,SS,1696290210
128,yangjiang,21.85,111.9667,300.08,85,84,1.11,CN,1696290210
129,coyhaique,-45.5752,-72.0662,282.12,53,100,1.54,CL,1696290162
130,mokopane,-24.1944,29.0097,286.1,73,0,1.96,ZA,1696290210
131,morehead city,34.7229,-76.726,296.17,79,0,2.68,US,1696290051
132,tazovsky,67.4667,78.7,280.72,94,100,6.95,RU,1696290211
133,st. john's,47.5649,-52.7093,283.09,93,0,2.06,CA,1696290155
134,neiva,2.9273,-75.2819,309.09,32,40,2.57,CO,1696290097
135,vorkuta,67.5,64.0,274.16,83,88,8.76,RU,1696290211
136,zhangye,38.9342,100.4517,287.68,40,76,0.4,CN,1696290211
137,vicente guerrero,19.1194,-98.1708,292.81,89,99,1.91,MX,1696289943
138,haridwar,29.9667,78.1667,292.48,65,0,1.11,IN,1696290212
139,qui nhon,13.7667,109.2333,299.83,85,100,2.06,VN,1696290212
140,margaret river,-33.95,115.0667,286.72,68,95,5.46,AU,1696290212
141,lodja,-3.4833,23.4333,295.05,83,75,1.1,CD,1696290213
142,port lincoln,-34.7333,135.8667,287.82,61,73,8.75,AU,1696290213
143,kudymkar,59.0173,54.656,282.7,82,100,2.13,RU,1696290213
144,nizhneudinsk,54.9076,99.0276,275.38,89,100,0.89,RU,1696290213
145,port mathurin,-19.6833,63.4167,296.58,82,29,6.94,MU,1696290214
146,longyearbyen,78.2186,15.6401,270.06,68,75,7.72,SJ,1696290214
147,bayanhongor,46.7167,100.1167,272.89,68,5,1.26,MN,1696290214
148,sungai penuh,-2.0833,101.3833,292.14,87,90,0.11,ID,1696290214
149,berezovo,63.9381,65.0419,283.13,78,70,7.6,RU,1696290215
150,mukalla,14.5425,49.1242,299.92,78,2,1.93,YE,1696290215
151,ust-nera,64.5667,143.2,274.78,69,34,1.4,RU,1696290215
152,talcahuano,-36.7167,-73.1167,285.97,82,75,2.06,CL,1696290215
153,tiksi,71.6872,128.8694,270.76,80,100,7.15,RU,1696290215
154,cromer,52.9312,1.2989,291.15,96,100,4.94,GB,1696290216
155,tofol,5.3248,163.0078,305.03,70,20,1.03,FM,1696290216
156,kenai,60.5544,-151.2583,282.67,77,100,1.54,US,1696290216
157,kavalerovo,44.2661,135.0572,286.0,60,2,4.71,RU,1696290216
158,mount isa,-20.7333,139.5,303.02,26,15,4.63,AU,1696290159
159,siracusa,37.0881,15.2792,292.92,64,0,2.38,IT,1696290217
160,thompson,55.7435,-97.8558,279.24,87,100,3.6,CA,1696290217
161,tura,25.5198,90.2201,295.85,96,81,2.31,IN,1696290217
162,dwarka,22.2394,68.9678,299.47,79,0,4.04,IN,1696290217
163,diamantina,-18.2494,-43.6003,292.13,84,84,1.19,BR,1696290218
164,wieruszow,51.2949,18.1555,289.29,69,98,3.47,PL,1696290218
165,ancud,-41.8697,-73.8203,280.26,71,95,1.13,CL,1696290218
166,kingston,17.997,-76.7936,302.68,87,75,5.14,JM,1696290218
167,smithers,54.7804,-127.1743,285.33,76,75,2.57,CA,1696290219
168,konakovo,56.7,36.7667,283.19,91,61,1.65,RU,1696290219
169,lockwood,45.8191,-108.4149,288.5,74,75,0.0,US,1696290219
170,klyuchi,52.2667,79.1667,276.51,57,3,3.3,RU,1696290219
171,mount pearl,47.5166,-52.7813,282.63,92,0,2.06,CA,1696290160
172,nemuro,43.3236,145.575,288.33,68,14,10.19,JP,1696290220
173,rio grande,-32.035,-52.0986,287.21,84,7,4.17,BR,1696290191
174,acapulco de juarez,16.8634,-99.8901,305.05,70,75,2.06,MX,1696290171
175,kerikeri,-35.2268,173.9474,292.54,68,7,2.68,NZ,1696290041
176,kayangel,8.0823,134.7173,301.74,73,29,3.72,PW,1696290221
177,newman,37.3138,-121.0208,299.34,33,4,4.02,US,1696290221
178,port elizabeth,-33.918,25.5701,289.99,69,0,1.03,ZA,1696290171
179,dolgoderevenskoye,55.3444,61.3444,286.64,79,20,0.0,RU,1696290221
180,tarauaca,-8.1614,-70.7656,301.79,61,100,0.9,BR,1696290221
181,hawaiian paradise park,19.5933,-154.9731,300.31,79,100,3.09,US,1696290222
182,phongsali,21.6833,102.1058,290.66,98,91,0.32,LA,1696290222
183,katsuren-haebaru,26.3369,127.8719,302.36,90,75,4.63,JP,1696290222
184,lakatoro,-16.0999,167.4164,300.1,70,85,7.77,VU,1696290222
185,exeter,50.7236,-3.5275,288.07,93,40,3.6,GB,1696290223
186,tsaratanana,-16.7833,47.65,297.33,70,62,0.85,MG,1696290223
187,isafjordur,66.0755,-23.124,274.46,92,100,7.03,IS,1696290223
188,znojmo,48.8555,16.0488,289.32,74,80,1.49,CZ,1696290223
189,kailua-kona,19.6406,-155.9956,303.13,75,0,5.66,US,1696289938
190,al ghayzah,16.2079,52.176,298.54,80,1,0.79,YE,1696290224
191,brezina,33.0989,1.2608,295.2,37,0,2.04,DZ,1696290224
192,barclayville,4.6797,-8.2339,297.89,87,95,3.84,LR,1696290224
193,bismarck,46.8083,-100.7837,293.06,81,100,3.09,US,1696290224
194,taoudenni,22.6783,-3.9836,307.35,17,56,7.55,ML,1696290225
195,snowflake,34.5134,-110.0785,294.78,32,0,9.49,US,1696290225
196,terekli-mekteb,44.1671,45.8698,291.4,72,95,3.86,RU,1696290225
197,lagoa,39.05,-27.9833,292.76,64,6,6.58,PT,1696290225
198,west island,-12.1568,96.8225,298.14,69,75,4.12,CC,1696290156
199,fale old settlement,-9.3852,-171.2468,301.58,74,68,5.52,TK,1696290226
200,ciudad sabinas hidalgo,26.5,-100.1667,305.71,41,38,5.53,MX,1696290226
201,nurota,40.5614,65.6886,286.78,33,0,1.72,UZ,1696290226
202,remire-montjoly,4.9167,-52.2667,300.17,83,0,3.09,GF,1696290226
203,saint-jean-de-monts,46.7833,-2.0667,293.01,88,92,7.88,FR,1696290226
204,bandar-e lengeh,26.5579,54.8807,303.28,61,0,1.65,IR,1696290227
205,catemaco,18.4167,-95.1167,298.18,87,81,2.01,MX,1696290099
206,mengcheng chengguanzhen,33.2661,116.566,290.5,86,100,3.11,CN,1696290227
207,qoryooley,1.7878,44.53,298.07,91,8,4.5,SO,1696290227
208,yuzhno-kurilsk,44.0306,145.8556,287.8,74,20,7.93,RU,1696290228
209,salekhard,66.53,66.6019,278.74,81,89,10.28,RU,1696290228
210,coahuayana de hidalgo,18.7,-103.6583,301.55,88,81,1.71,MX,1696290228
211,sezanne,48.7205,3.7234,293.44,54,64,3.88,FR,1696290228
212,georgetown,5.4112,100.3354,299.27,91,20,1.54,MY,1696290153
213,howrah,22.5892,88.3103,300.15,94,40,2.57,IN,1696290229
214,nova sintra,14.8667,-24.7167,296.58,82,70,4.9,CV,1696290175
215,greymouth,-42.4667,171.2,286.09,38,0,2.43,NZ,1696290229
216,port alfred,-33.5906,26.891,292.97,62,0,3.63,ZA,1696290229
217,kamloops,50.6665,-120.3192,287.91,74,100,3.6,CA,1696290174
218,broken hill,-31.95,141.4333,296.45,46,99,10.31,AU,1696290230
219,merizo village,13.2658,144.6691,304.46,88,85,5.95,GU,1696290230
220,hammerfest,70.6634,23.6821,273.4,93,75,3.09,NO,1696290230
221,muli,2.9167,73.5667,300.6,78,95,4.97,MV,1696290230
222,keflavik,64.0049,-22.5624,279.39,81,75,7.2,IS,1696290163
223,casas grandes,30.3667,-107.95,298.15,39,87,9.15,MX,1696290231
224,nykobing sjaelland,55.9249,11.6711,289.33,95,100,2.38,DK,1696290231
225,alofi,-19.0595,-169.9187,295.84,73,100,11.37,NU,1696290231
226,mejit,10.2753,170.8646,301.79,78,11,6.86,MH,1696290231
227,westport,41.1415,-73.3579,293.31,79,12,0.97,US,1696290231
228,elk city,35.412,-99.4043,302.27,37,0,6.69,US,1696290117
229,khao wong,16.7001,104.0902,297.99,86,65,1.29,TH,1696290232
230,atambua,-9.1061,124.8925,300.78,53,6,0.11,ID,1696290232
231,klaksvik,62.2266,-6.589,283.66,88,96,5.72,FO,1696290232
232,kirakira,-10.4544,161.9205,302.4,77,77,5.34,SB,1696290232
233,taro,-8.3862,115.28,294.74,75,77,1.46,ID,1696290187
234,margate,51.3813,1.3862,293.08,85,100,1.79,GB,1696290162
235,tabou,4.423,-7.3528,298.13,88,86,4.63,CI,1696290233
236,rumphi,-11.0186,33.8575,293.0,57,54,2.53,MW,1696290233
237,alesund,62.4723,6.1549,286.11,73,20,6.69,NO,1696290198
238,kruisfontein,-34.0033,24.7314,291.89,36,0,3.41,ZA,1696290234
239,puerto baquerizo moreno,-0.9,-89.6,295.9,89,57,5.02,EC,1696290234
240,isangel,-19.55,169.2667,299.21,65,75,6.17,VU,1696290234
241,daru,-9.0763,143.2092,300.28,75,71,5.51,PG,1696290235
242,kenora,49.8167,-94.4337,298.69,57,20,3.09,CA,1696290115
243,clinton,42.587,-82.9199,298.85,71,0,1.54,US,1696290169
244,hadibu,12.65,54.0333,299.72,84,6,1.84,YE,1696290235
245,carnarvon,-24.8667,113.6333,289.61,57,0,11.94,AU,1696290235
246,sarandi,-23.4436,-51.8739,300.9,57,0,2.57,BR,1696290236
247,ma'an,26.9775,110.7211,295.68,90,99,2.18,CN,1696290236
248,saint-pierre,-21.3393,55.4781,293.97,73,0,1.54,RE,1696290236
249,kalmunai,7.4167,81.8167,298.18,86,80,5.82,LK,1696290236
250,porbandar,21.6422,69.6093,298.81,76,2,2.99,IN,1696290237
251,lazaro cardenas,17.9583,-102.2,301.73,84,98,1.55,MX,1696290237
252,codrington,-38.2667,141.9667,288.71,63,86,5.94,AU,1696290237
253,kerema,-7.9631,145.7785,300.03,83,99,2.46,PG,1696290237
254,nuku'alofa,-21.1333,-175.2,296.34,64,75,7.72,TO,1696290237
255,roswell,34.0232,-84.3616,299.03,66,0,2.06,US,1696290101
256,nova vicosa,-17.8919,-39.3719,297.76,89,87,5.7,BR,1696290238
257,soc trang,9.6033,105.98,298.23,93,100,3.3,VN,1696290238
258,lorengau,-2.0226,147.2712,301.35,81,99,3.63,PG,1696290238
259,kourou,5.1552,-52.6478,300.18,80,31,5.66,GF,1696290238
260,labasa,-16.4167,179.3833,299.24,67,96,6.33,FJ,1696290239
261,enewetak,11.3474,162.3373,301.94,79,87,7.44,MH,1696290160
262,trincomalee,8.5711,81.2335,300.28,72,88,6.98,LK,1696290239
263,palikir - national government center,6.9248,158.1611,306.56,62,75,1.54,FM,1696290187
264,al jawf,29.5,38.75,296.6,43,100,2.79,SA,1696290239
265,bam,29.106,58.357,297.85,26,0,1.43,IR,1696290240
266,lee acres,35.1487,-106.647,294.81,49,75,12.35,US,1696290240
267,hobyo,5.3505,48.5268,298.82,89,3,7.95,SO,1696290240
268,lisala,2.15,21.5167,295.29,99,100,0.76,CD,1696290240
269,ghat,24.9647,10.1728,299.39,38,10,2.91,LY,1696290241
270,loreto,22.2667,-101.9667,298.54,28,49,5.7,MX,1696290241
